Tabel 1
;;;;;;;;;;;;
;Race;Jaar;Etappe;Soort etappe;Uitslag;Uitslag rit;Algemeen;Punten;Jong;Berg;Uitvallers;Niet gestart
;Tour de France;2018;10;Berg;13;Yates Adam;Majka Rafal;;;;;
;Tour de France;2018;10;Berg;14;Fuglsang Jakob;Bardet Romain;;;;;
;Tour de France;2018;10;Berg;15;Froome Chris;Mollema Bauke;;;;;
;Tour de France;2018;10;Berg;16;Dumoulin Tom;Quintana Nairo;;;;;
;Tour de France;2018;10;Berg;17;Valverde Alejandro;Martin Dan;;;;;
;Tour de France;2018;10;Berg;18;Quintana Nairo;Zakarin Ilnur;;;;;
;Tour de France;2018;10;Berg;19;Nibali Vincenzo;Pauwels Serge;;;;;
;Tour de France;2018;10;Berg;20;Landa Mikel;Pozzovivo Domenico;;;;;
;Tour de France;2018;11;Berg;1;Thomas Geraint;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;105;
;Tour de France;2018;11;Berg;2;Dumoulin Tom;Froome Chris;Gaviria Fernando;Martin Guillaume;Pauwels Serge;116;
;Tour de France;2018;11;Berg;3;Froome Chris;Dumoulin Tom;Groenewegen Dylan;Bernal Egan;Barguil Warren;109;
;Tour de France;2018;11;Berg;4;Caruso Damiano;Nibali Vincenzo;Kristoff Alexander;Kragh Andersen Soren;Taaramae Rein;;
;Tour de France;2018;11;Berg;5;Nieve Mikel;Roglic Primoz;Demare Arnaud;Gaudu David;Molard Rudy;;
;Tour de France;2018;11;Berg;6;Martin Dan;Kruijswijk Steven;Greipel Andre;;;;
;Tour de France;2018;11;Berg;7;Herrada Jesus;Landa Mikel;Degenkolb John;;;;
;Tour de France;2018;11;Berg;8;Bardet Romain;Bardet Romain;Pasqualon Andrea;;;;
;Tour de France;2018;11;Berg;9;Nibali Vincenzo;Quintana Nairo;Gilbert Philippe;;;;
;Tour de France;2018;11;Berg;10;Quintana Nairo;Martin Dan;Van Avermaet Greg;;;;
;Tour de France;2018;11;Berg;11;Roglic Primoz;Valverde Alejandro;;;;;
;Tour de France;2018;11;Berg;12;Kruijswijk Steven;Fuglsang Jakob;;;;;
;Tour de France;2018;11;Berg;13;Landa Mikel;Zakarin Ilnur;;;;;
;Tour de France;2018;11;Berg;14;Bernal Egan;Nieve Mikel;;;;;
;Tour de France;2018;11;Berg;15;Zakarin Ilnur;Jungels Bob;;;;;
;Tour de France;2018;11;Berg;16;Navarro Daniel;Yates Adam;;;;;
;Tour de France;2018;11;Berg;17;Latour Pierre;Pozzovivo Domenico;;;;;
;Tour de France;2018;11;Berg;18;Izagirre Ion;Caruso Damiano;;;;;
;Tour de France;2018;11;Berg;19;Martin Guillaume;Pauwels Serge;;;;;
;Tour de France;2018;11;Berg;20;Barguil Warren;Latour Pierre;;;;;
;Tour de France;2018;12;Berg;1;Thomas Geraint;Thomas Geraint;Sagan Peter;Latour Pierre;Alaphilippe Julian;99;9
;Tour de France;2018;12;Berg;2;Dumoulin Tom;Froome Chris;Kristoff Alexander;Martin Guillaume;Barguil Warren;152;
;Tour de France;2018;12;Berg;3;Bardet Romain;Dumoulin Tom;Demare Arnaud;Bernal Egan;Pauwels Serge;137;
;Tour de France;2018;12;Berg;4;Froome Chris;Nibali Vincenzo;Degenkolb John;Gaudu David;Thomas Geraint;21;
;Tour de France;2018;12;Berg;5;Landa Mikel;Roglic Primoz;Pasqualon Andrea;Kragh Andersen Soren;Gaudu David;143;
;Tour de France;2018;12;Berg;6;Roglic Primoz;Bardet Romain;Gilbert Philippe;;;120;
;Tour de France;2018;12;Berg;7;Nibali Vincenzo;Landa Mikel;Valverde Alejandro;;;131;
;Tour de France;2018;12;Berg;8;Fuglsang Jakob;Kruijswijk Steven;Van Avermaet Greg;;;;
